,expId,Compound,tempNLSDf
1,2,ABT-263 (Navitoclax),312.3378<>317.907<>355.4989<>390.3062<>410.7265<>432.075<>455.744<>466.8824<>477.0925<>483.5899<>490.5513<>475.2361<>464.5619<>445.998<>419.0803<>394.4831<>358.2835<>339.7196<>295.6303<>284.0278<>253.8615<>239.4744<>227.872<>232.513<>249.6846
2,2,Clofarabine,286.8124<>264.5357<>269.1767<>257.1102<>253.3974<>252.0051<>251.541<>233.9053<>221.3746<>209.7722<>197.2415<>181.4622<>173.1085<>176.3571<>156.8651<>148.0472<>138.7652<>116.4885<>116.4885<>104.8861<>100.2451<>90.96317<>84.92989<>79.82481<>78.43253
3,2,BEZ235 (NVP-BEZ235; Dactolisib),368.4936<>369.4218<>379.632<>402.8369<>402.8369<>386.1293<>371.2782<>343.4323<>328.1171<>318.8352<>308.1609<>303.984<>294.7021<>287.7406<>278.4586<>266.3921<>265.4639<>258.5025<>254.7897<>249.2205<>239.4744<>240.8667<>235.7617<>235.2976<>226.9438
4,2,KU-0063794,303.984<>326.2607<>335.5427<>348.5374<>343.4323<>334.6145<>320.2274<>283.0996<>255.2538<>236.2258<>219.9823<>219.5182<>209.7722<>189.3519<>184.7109<>180.0699<>166.6111<>168.9316<>161.0419<>153.1523<>144.3344<>135.0524<>129.0192<>130.4115<>115.5603
5,2,PD184352 (CI-1040),324.8684<>350.3938<>377.7756<>387.0575<>406.5497<>406.0855<>439.0365<>446.4621<>455.744<>458.5286<>465.026<>472.4515<>478.0207<>465.4901<>467.8105<>463.6337<>459.9209<>462.7055<>477.5566<>471.5233<>471.5233<>472.9156<>482.6617<>496.1205<>496.5846
6,2,Temozolomide,300.7354<>303.5199<>323.4761<>344.3605<>374.0628<>383.3448<>407.9419<>414.9034<>420.0085<>430.6827<>450.1748<>455.2799<>461.7773<>479.8771<>483.1258<>485.9104<>493.3359<>477.0925<>497.5128<>490.5513<>497.9769<>496.5846<>501.6897<>510.5075<>523.0382
7,2,Motesanib Diphosphate (AMG-706),326.7248<>336.0068<>368.9577<>387.5216<>421.8649<>435.3237<>461.3132<>468.7387<>470.131<>478.4848<>487.7668<>482.6617<>477.0925<>461.3132<>468.7387<>452.0312<>442.2852<>404.6933<>406.0855<>394.9472<>359.6758<>345.7528<>342.5042<>346.2169<>336.4709
8,2,Dienogest,341.576<>357.3553<>362.4604<>410.2624<>429.7545<>439.0365<>496.1205<>517.0049<>527.6791<>555.525<>590.7964<>573.1608<>575.9453<>624.2115<>618.1782<>618.6423<>622.3551<>624.6756<>641.8472<>635.3499<>614.0013<>631.173<>614.4655<>670.1572<>632.1011
9,2,STF-62247,334.6145<>345.7528<>364.3167<>392.6267<>401.9087<>413.9752<>445.0698<>447.3903<>456.6722<>465.4901<>463.1696<>469.2029<>481.7335<>491.4795<>485.9104<>486.3745<>485.9104<>467.8105<>478.0207<>465.4901<>470.131<>467.8105<>476.1643<>484.054<>481.2694
10,2,Celecoxib,281.7073<>307.6968<>347.6092<>371.7423<>405.6215<>426.5059<>474.3079<>498.441<>544.8508<>584.2991<>615.8577<>665.5162<>706.8209<>749.0538<>717.4952<>728.6335<>765.7613<>730.0258<>783.397<>841.4092<>817.2762<>845.122<>856.2604<>897.101<>960.2183
11,2,Y-27632 2HCl,353.1784<>377.7756<>413.9752<>451.103<>491.9436<>534.6406<>574.0889<>606.5758<>632.5652<>657.1624<>685.9365<>721.2079<>733.7386<>748.1256<>723.9925<>722.6002<>707.285<>734.6667<>724.9207<>696.6108<>714.2465<>703.1081<>715.1747<>803.8173<>818.2043
