,expId,Compound,tempConfluenceDf
1,2,ABT-263 (Navitoclax),46.40245<>48.42251<>53.84224<>57.69405<>58.54123<>63.18972<>68.0676<>70.33501<>72.812<>73.9334<>74.88277<>72.93808<>70.05885<>68.82322<>68.79932<>68.00702<>67.26196<>67.25297<>67.01024<>66.00339<>66.3637<>67.45799<>66.75903<>65.97694<>67.88524
2,2,Clofarabine,40.21711<>38.47847<>44.49519<>45.65145<>46.11827<>47.74584<>47.95817<>45.62431<>47.06156<>46.51393<>44.15575<>39.9473<>39.16473<>40.81165<>39.54513<>37.7631<>36.22726<>35.27187<>34.27705<>33.37878<>32.50518<>31.92459<>31.37019<>31.69802<>30.25173
3,2,BEZ235 (NVP-BEZ235; Dactolisib),50.16532<>49.45209<>55.27325<>59.471<>60.11908<>58.89326<>57.26118<>55.44788<>53.15325<>52.56369<>51.83708<>51.38062<>50.47281<>50.3954<>48.59776<>49.0247<>47.81298<>47.27724<>47.43072<>46.31506<>46.01908<>45.44947<>45.08816<>43.58387<>44.14864
4,2,KU-0063794,44.09724<>45.99117<>51.3353<>57.23038<>58.25439<>56.57605<>54.37816<>51.27341<>47.81221<>46.74411<>44.93244<>46.13686<>43.41857<>43.09785<>43.42625<>41.37075<>41.48189<>40.15998<>40.49037<>39.40206<>38.85962<>37.90471<>37.70605<>38.04162<>35.81102
5,2,PD184352 (CI-1040),46.00055<>50.49314<>56.09761<>60.76185<>64.75706<>66.56097<>70.13891<>71.00684<>72.70059<>73.14896<>75.40976<>81.31741<>79.94812<>82.95817<>85.64026<>85.14133<>86.9038<>90.11687<>85.69207<>88.02477<>86.61305<>88.8802<>91.00533<>94.20804<>89.34254
6,2,Temozolomide,46.6011<>48.03816<>51.5531<>57.51871<>61.63972<>62.91223<>67.34479<>68.79027<>71.37012<>74.1838<>77.77105<>78.74509<>79.22227<>82.7852<>84.80133<>84.63817<>87.80462<>88.21831<>88.70364<>87.12477<>88.75877<>88.04929<>88.64286<>87.19329<>88.48675
7,2,Motesanib Diphosphate (AMG-706),47.54379<>50.32748<>55.77662<>59.56079<>63.40849<>65.58189<>70.26717<>71.58549<>73.80775<>75.06291<>77.41434<>77.96508<>78.48164<>80.50998<>80.93806<>76.38068<>77.47893<>77.46608<>75.96209<>75.6862<>74.74745<>70.60676<>71.91444<>70.32957<>70.76072
8,2,Dienogest,50.61152<>50.70554<>56.91499<>60.62735<>65.03668<>66.93128<>76.49115<>80.1577<>83.60846<>87.62577<>91.41135<>90.34261<>90.07749<>95.07784<>97.40246<>96.56525<>97.0798<>96.52761<>97.89104<>97.34705<>97.30437<>97.90527<>97.86354<>97.41074<>98.48129
9,2,STF-62247,47.27162<>51.69125<>59.46088<>63.84263<>67.95596<>67.29913<>72.8612<>74.97491<>76.52781<>79.78992<>80.34081<>80.52448<>81.56402<>85.12543<>85.26165<>85.26097<>85.20025<>82.46622<>85.04199<>84.58022<>84.4237<>83.12934<>83.42305<>80.49168<>83.95396
10,2,Celecoxib,41.68021<>45.25842<>50.0317<>53.93657<>57.86463<>64.08764<>74.77266<>78.72285<>84.27512<>89.23512<>93.01302<>94.20631<>96.30505<>97.54904<>98.0725<>98.65543<>99.34496<>99.27642<>99.71899<>99.90218<>99.88747<>99.9374<>100<>99.97968<>100
11,2,Y-27632 2HCl,45.05526<>51.4405<>56.512<>63.08016<>71.80012<>79.9553<>85.77296<>89.83539<>95.50626<>96.8046<>98.21949<>98.78992<>99.25977<>99.09412<>99.23304<>99.05959<>99.14857<>99.00738<>99.33582<>99.0685<>99.36595<>99.51536<>99.35165<>99.69806<>99.65247
12,2,Adapalene,40.21925<>42.36945<>49.20535<>52.61765<>57.95292<>65.54949<>66.76835<>71.87997<>73.73742<>74.46169<>79.50153<>82.87859<>81.59628<>77.19967<>75.05305<>74.14849<>72.91603<>75.59599<>74.34308<>74.90778<>72.78515<>73.2036<>73.34155<>78.57171<>74.16626
13,2,Masitinib (AB1010),42.21624<>42.91859<>47.04161<>52.57287<>55.52428<>58.82471<>65.772<>69.57084<>74.04702<>77.30058<>78.92303<>79.54147<>80.26925<>83.59795<>81.74769<>81.35734<>79.57206<>73.939<>74.7433<>73.43881<>72.93359<>72.17983<>70.62335<>65.75797<>69.26827
14,2,Budesonide,39.46473<>43.2836<>49.91525<>54.26157<>59.48338<>67.85304<>68.03679<>73.67651<>77.98823<>83.23862<>88.98934<>91.99229<>95.82055<>95.38771<>96.76205<>97.42636<>98.16685<>98.89975<>99.32747<>99.46561<>99.30592<>99.68445<>99.63528<>99.93251<>99.76017
