,expId,Compound,tempSytoxDf
1,2,ABT-263 (Navitoclax),26.91767<>22.74079<>29.23816<>24.59718<>24.13308<>23.66899<>36.19963<>41.3047<>54.29944<>77.04023<>104.422<>155.0087<>228.3361<>291.9175<>365.2449<>439.0365<>533.2484<>587.5478<>661.3393<>666.4444<>681.7596<>681.7596<>704.9645<>664.588<>689.1852
2,2,Clofarabine,23.20489<>22.27669<>24.13308<>20.8844<>19.02801<>25.98948<>33.41504<>43.62519<>65.90189<>82.60941<>108.5989<>146.6549<>162.4342<>175.8931<>199.562<>213.0209<>225.5515<>236.2258<>248.2923<>236.6899<>237.154<>232.9771<>223.231<>208.844<>200.9543
3,2,BEZ235 (NVP-BEZ235; Dactolisib),8.817858<>11.13835<>15.31523<>16.70752<>12.06654<>28.30996<>46.87387<>83.0735<>111.3835<>130.4115<>142.9421<>145.2626<>157.3291<>154.0805<>154.0805<>172.1803<>174.0367<>177.7495<>189.3519<>181.9263<>177.7495<>177.2854<>174.0367<>165.2188<>179.1417
4,2,KU-0063794,4.640978<>5.569173<>15.31523<>11.60244<>16.70752<>33.87914<>65.90189<>104.422<>130.4115<>151.2959<>179.1417<>180.534<>192.6006<>213.9491<>206.5235<>200.4902<>206.0594<>199.562<>208.3799<>202.8107<>209.7722<>212.5568<>208.844<>213.485<>212.0927
5,2,PD184352 (CI-1040),10.67425<>10.21015<>12.06654<>7.889662<>5.569173<>12.53064<>20.4203<>25.98948<>29.70226<>33.41504<>35.27143<>34.80733<>36.19963<>46.87387<>46.40978<>51.51485<>60.33271<>58.47632<>64.04549<>69.61466<>72.86335<>76.57613<>85.39399<>98.85282<>111.8476
6,2,Temozolomide,12.06654<>14.38703<>14.38703<>9.281956<>13.45884<>12.06654<>11.13835<>20.4203<>24.13308<>20.8844<>21.3485<>25.52538<>32.02275<>31.55865<>30.63045<>33.41504<>41.3047<>49.19436<>68.22237<>79.82481<>93.28365<>110.4553<>132.2679<>151.2959<>172.6444
7,2,Motesanib Diphosphate (AMG-706),20.8844<>18.09981<>13.45884<>9.746053<>5.569173<>4.640978<>6.497369<>7.425564<>16.24342<>19.02801<>25.98948<>33.87914<>41.3047<>63.58139<>83.5376<>104.422<>145.2626<>171.7162<>221.8387<>243.1872<>269.1767<>292.8457<>303.5199<>313.266<>333.2222
8,2,Dienogest,2.320489<>4.640978<>5.105075<>5.569173<>5.569173<>8.817858<>12.06654<>10.67425<>12.99474<>15.77932<>16.24342<>22.27669<>26.45357<>32.48684<>44.55339<>53.37124<>81.21711<>94.67594<>128.5551<>148.0472<>185.175<>223.231<>260.3589<>284.0278<>326.2607
9,2,STF-62247,10.21015<>6.497369<>6.961466<>8.817858<>9.281956<>6.961466<>6.961466<>10.67425<>11.13835<>11.60244<>12.99474<>15.31523<>13.45884<>23.66899<>32.95094<>34.34324<>46.40978<>43.62519<>56.61993<>60.33271<>65.90189<>68.22237<>82.1453<>91.42726<>90.96317
10,2,Celecoxib,2.320489<>2.320489<>3.712782<>4.640978<>6.497369<>4.640978<>6.961466<>6.961466<>6.497369<>9.281956<>13.45884<>19.9562<>41.3047<>76.11204<>114.6321<>160.1137<>221.3746<>293.3098<>315.5865<>342.5042<>378.2397<>385.6653<>415.8316<>443.2134<>468.2747
11,2,Y-27632 2HCl,1.392293<>1.392293<>2.320489<>2.320489<>1.856391<>3.712782<>7.425564<>10.21015<>12.53064<>13.92293<>19.49211<>34.34324<>54.29944<>84.00169<>115.5603<>156.401<>216.2696<>252.0051<>283.5638<>337.8632<>366.6372<>377.3115<>380.5602<>441.8211<>412.1188
12,2,Adapalene,2.784587<>4.640978<>6.497369<>4.640978<>5.105075<>7.425564<>10.67425<>12.99474<>18.09981<>30.63045<>50.12256<>85.39399<>130.4115<>156.401<>217.1978<>266.8562<>326.2607<>376.3833<>415.3675<>423.2572<>430.6827<>440.4288<>438.1083<>474.772<>433.9314
13,2,Masitinib (AB1010),3.248684<>5.105075<>4.640978<>5.105075<>3.712782<>4.640978<>11.13835<>9.281956<>14.38703<>24.13308<>26.91767<>45.48158<>60.79681<>114.6321<>153.1523<>191.2083<>239.4744<>293.7739<>342.0401<>350.3938<>350.3938<>342.5042<>323.0121<>275.6741<>292.8457
14,2,Budesonide,15.77932<>14.38703<>15.31523<>10.67425<>8.817858<>8.35376<>10.21015<>7.889662<>6.961466<>7.889662<>11.13835<>10.67425<>19.9562<>25.98948<>51.97895<>90.49906<>131.3397<>164.7547<>221.8387<>257.5742<>280.7791<>292.8457<>294.7021<>270.569<>304.9122
15,2,ZSTK474,1.392293<>5.105075<>10.67425<>22.74079<>47.80207<>71.47105<>96.06824<>127.1628<>147.119<>184.2468<>195.8493<>208.844<>198.1698<>223.6951<>224.1592<>225.0874<>216.7337<>206.9876<>219.5182<>206.5235<>200.0261<>195.8493<>184.2468<>176.8212<>177.2854
16,2,Floxuridine,5.105075<>3.712782<>5.569173<>3.712782<>6.033271<>6.961466<>8.35376<>9.281956<>16.70752<>22.27669<>34.80733<>51.97895<>76.57613<>102.1015<>140.1575<>181.4622<>215.3414<>245.0436<>288.6688<>297.4867<>312.3378<>333.6863<>356.8912<>372.6705<>372.2064
17,2,Belinostat (PXD101),4.640978<>2.784587<>3.712782<>11.13835<>16.70752<>35.27143<>58.47632<>86.32218<>122.9859<>161.0419<>194.9211<>213.9491<>250.1487<>286.8124<>303.0558<>311.8737<>309.0891<>277.0664<>272.4254<>228.3361<>187.0314<>144.7985<>119.7372<>98.85282<>79.36072
18,2,Costunolide,8.817858<>6.961466<>6.033271<>5.569173<>5.105075<>3.712782<>6.497369<>10.21015<>9.281956<>14.38703<>25.98948<>30.16636<>51.05075<>80.75301<>129.0192<>177.7495<>231.5848<>289.1329<>332.294<>361.9962<>391.6985<>429.2904<>452.0312<>476.6284<>503.082
19,2,LAQ824 (Dacinostat),17.63572<>17.63572<>22.27669<>22.74079<>58.94042<>116.9526<>160.1137<>226.4797<>328.1171<>425.5777<>513.7562<>556.9173<>560.6301<>576.8735<>560.6301<>483.1258<>375.9192<>235.2976<>168.4675<>109.063<>73.32745<>58.94042<>48.26617<>35.73553<>34.34324
20,2,Flumazenil,1.856391<>3.712782<>3.712782<>2.784587<>2.320489<>8.35376<>7.425564<>5.569173<>6.033271<>12.99474<>24.59718<>45.48158<>74.71974<>119.7372<>170.788<>227.4079<>314.6583<>355.963<>431.1468<>478.0207<>513.7562<>494.7282<>522.11<>545.3149<>566.1993
21,2,GDC-0879,15.31523<>15.77932<>19.02801<>12.06654<>6.033271<>8.35376<>9.746053<>7.889662<>10.21015<>14.85113<>18.56391<>30.16636<>51.51485<>89.57087<>132.732<>190.2801<>245.5077<>323.0121<>384.7371<>407.4778<>449.2466<>480.3412<>500.2974<>515.1485<>526.751
22,2,Granisetron HCl,7.889662<>6.961466<>10.67425<>7.889662<>7.425564<>8.35376<>7.425564<>8.817858<>12.99474<>19.02801<>28.77406<>54.76354<>83.5376<>142.9421<>193.5288<>245.5077<>306.3045<>345.2887<>437.1801<>479.8771<>520.2536<>558.7737<>583.835<>565.7352<>596.8297
23,2,4mu8C,13.92293<>12.53064<>14.85113<>9.746053<>8.817858<>8.35376<>7.889662<>9.746053<>13.92293<>19.49211<>27.38177<>44.55339<>73.79154<>116.9526<>173.1085<>245.9718<>303.0558<>335.0786<>399.5882<>443.6775<>491.4795<>510.0435<>528.6074<>531.856<>536.497
24,2,RG2833 (RGFP109),8.35376<>7.425564<>13.45884<>11.60244<>13.92293<>28.77406<>58.47632<>120.6654<>247.3641<>324.4043<>366.6372<>395.8754<>412.1188<>416.2957<>414.4393<>419.5444<>426.5059<>424.1854<>426.5059<>414.9034<>410.2624<>413.5111<>401.9087<>378.7038<>386.5934
