,expId,Compound,tempNLSDf
1,3,ABT-263 (Navitoclax),207.4517<>206.5235<>235.7617<>272.4254<>320.6916<>370.8141<>411.1906<>469.2029<>498.9051<>578.7299<>625.1397<>642.7754<>639.0626<>683.616<>672.9418<>668.3008<>679.9033<>704.9645<>601.9348<>526.751<>526.751<>488.2309<>471.0592<>454.3517<>466.4182
2,3,Clofarabine,198.6339<>186.1032<>210.7004<>230.1925<>239.9386<>256.182<>269.6408<>253.8615<>252.9333<>224.1592<>201.4184<>189.816<>167.5393<>153.6164<>144.3344<>124.3782<>131.3397<>118.3449<>115.0962<>113.704<>100.7092<>98.38873<>95.60414<>90.96317<>83.5376
3,3,BEZ235 (NVP-BEZ235; Dactolisib),170.788<>169.8598<>184.7109<>204.6671<>217.6618<>235.2976<>233.4412<>243.1872<>245.9718<>238.0822<>237.6181<>262.6794<>266.8562<>246.9<>237.6181<>242.7231<>258.5025<>265.4639<>270.1049<>264.9998<>255.7179<>246.4359<>259.4307<>257.5742<>251.541
4,3,KU-0063794,212.5568<>212.0927<>230.1925<>260.8229<>266.8562<>286.8124<>304.4482<>311.4096<>338.3273<>342.0401<>365.2449<>396.3395<>431.6109<>439.9647<>425.5777<>445.5338<>495.1923<>505.4025<>514.2203<>512.364<>513.2921<>538.8175<>542.5303<>551.8123<>569.4479
5,3,PD184352 (CI-1040),218.1259<>219.0542<>266.8562<>312.3378<>369.8859<>428.8263<>478.9489<>530.4637<>586.6196<>634.4216<>699.3953<>715.6387<>799.6404<>707.285<>746.7333<>838.6247<>782.4688<>681.2955<>731.4181<>834.9119<>705.8927<>670.6213<>691.5057<>678.975<>642.3113
6,3,Temozolomide,221.3746<>234.8335<>264.5357<>312.8019<>356.4271<>405.1573<>474.3079<>530.4637<>614.0013<>609.3604<>650.201<>700.7877<>736.0591<>728.1694<>688.7211<>701.2517<>751.3743<>642.7754<>659.947<>620.9628<>620.9628<>588.9401<>557.3814<>542.9944<>576.8735
7,3,Motesanib Diphosphate (AMG-706),229.2643<>224.1592<>253.8615<>319.7634<>353.6425<>397.7318<>453.4235<>483.1258<>551.8123<>587.0837<>583.3709<>623.7474<>564.3429<>616.7859<>568.9839<>573.1608<>572.2325<>647.4164<>607.0399<>583.3709<>545.3149<>620.4987<>593.1169<>535.1047<>607.504
8,3,Dienogest,197.2415<>200.0261<>232.0489<>279.3869<>333.2222<>394.019<>468.7387<>526.2869<>587.5478<>601.9348<>650.6651<>718.8875<>707.285<>763.9049<>769.01<>691.0416<>755.0871<>701.2517<>728.6335<>693.3621<>690.1134<>672.0135<>609.8245<>630.2448<>652.0574
9,3,STF-62247,149.4395<>168.4675<>208.844<>242.259<>268.2485<>318.3711<>361.5322<>426.5059<>504.4743<>537.8893<>594.0452<>646.0241<>763.9049<>767.1536<>784.3253<>838.6247<>850.2271<>813.5634<>847.9066<>816.8121<>769.4741<>796.3918<>740.236<>756.0153<>734.6667
10,3,Celecoxib,189.816<>204.203<>235.7617<>279.851<>334.1504<>392.6267<>462.2414<>504.4743<>573.6248<>621.891<>674.7982<>759.264<>825.6299<>803.8173<>780.6124<>774.5792<>853.4758<>752.3025<>737.4514<>685.9365<>706.8209<>719.8156<>636.7421<>670.1572<>644.6318
11,3,Y-27632 2HCl,183.3186<>205.5953<>241.7949<>279.851<>325.3326<>363.8527<>432.075<>496.5846<>532.7842<>598.6861<>659.947<>729.0976<>762.9767<>762.9767<>721.6721<>746.2692<>760.6563<>673.4059<>723.9925<>665.5162<>649.2728<>646.0241<>627.9243<>644.6318<>542.9944
12,3,Adapalene,195.3852<>206.5235<>236.2258<>262.6794<>283.5638<>298.879<>297.4867<>293.7739<>304.4482<>287.2765<>271.9613<>294.7021<>285.8842<>278.4586<>271.4972<>252.9333<>235.7617<>228.3361<>214.8773<>206.0594<>189.816<>193.0647<>177.7495<>174.9649<>176.3571
13,3,Masitinib (AB1010),184.7109<>181.4622<>200.0261<>239.4744<>281.7073<>307.6968<>351.7861<>400.9805<>463.6337<>485.9104<>519.7895<>573.6248<>609.8245<>612.6091<>616.7859<>657.1624<>627.9243<>682.6878<>680.8314<>685.4724<>651.5933<>643.2395<>698.9312<>709.1414<>644.6318
14,3,Budesonide,194.9211<>208.844<>238.0822<>277.9946<>303.984<>358.7476<>415.3675<>476.6284<>535.5688<>587.0837<>644.6318<>694.2903<>726.7771<>751.3743<>769.4741<>801.0328<>754.623<>783.397<>710.0696<>687.3288<>607.0399<>592.1888<>611.6808<>601.9348<>529.0715
15,3,ZSTK474,192.1365<>201.4184<>203.7389<>206.9876<>199.0979<>211.6286<>217.6618<>216.7337<>226.4797<>217.6618<>212.5568<>226.0156<>233.9053<>214.8773<>227.872<>230.6566<>256.6461<>261.7511<>280.3151<>277.0664<>277.5305<>277.9946<>292.3816<>308.1609<>316.5147
16,3,Floxuridine,209.3081<>223.6951<>261.7511<>278.4586<>285.4201<>279.851<>271.4972<>259.8947<>258.9666<>239.0103<>215.3414<>189.3519<>187.9596<>164.7547<>155.0087<>164.2906<>174.0367<>178.2135<>179.6058<>171.7162<>168.4675<>158.2573<>147.119<>143.8703<>134.5883
17,3,Belinostat (PXD101),207.4517<>221.8387<>247.3641<>253.3974<>250.6128<>252.9333<>256.182<>249.2205<>265.928<>258.9666<>247.3641<>249.2205<>245.0436<>220.9105<>221.3746<>208.844<>221.8387<>219.0542<>221.8387<>216.2696<>207.9158<>202.3466<>200.0261<>195.3852<>184.7109
18,3,Costunolide,197.2415<>207.9158<>249.6846<>283.5638<>317.4429<>378.7038<>417.688<>470.5951<>542.9944<>587.0837<>604.7194<>689.1852<>719.3516<>749.0538<>683.616<>768.5459<>757.8716<>734.6667<>716.1028<>690.5775<>731.4181<>684.5442<>678.975<>645.56<>639.0626
19,3,LAQ824 (Dacinostat),202.8107<>217.6618<>230.6566<>239.4744<>230.1925<>243.1872<>239.0103<>220.4464<>232.9771<>195.3852<>167.0752<>142.478<>117.4167<>79.36072<>62.6532<>47.33797<>38.05602<>28.77406<>21.8126<>15.31523<>10.67425<>8.817858<>5.569173<>5.105075<>3.712782
20,3,Flumazenil,234.8335<>245.5077<>279.3869<>337.3991<>374.0628<>453.4235<>533.2484<>595.9016<>667.3726<>701.2517<>714.7106<>781.5406<>872.0397<>814.4916<>775.5074<>846.5143<>782.4688<>735.595<>693.3621<>714.2465<>646.0241<>625.6038<>636.7421<>652.5215<>567.5916
21,3,GDC-0879,226.0156<>232.0489<>291.4534<>330.9017<>374.5269<>439.9647<>492.4077<>564.3429<>669.6931<>716.1028<>751.8384<>771.7946<>817.7403<>757.4075<>836.7682<>831.6632<>789.4303<>748.5897<>789.4303<>708.6773<>590.3323<>556.9173<>560.6301<>556.9173<>614.0013
22,3,Granisetron HCl,232.9771<>239.4744<>297.4867<>342.5042<>401.4446<>458.9927<>540.2098<>586.6196<>674.7982<>707.7491<>736.5231<>807.066<>803.8173<>818.6685<>913.8085<>772.2587<>854.404<>808.9224<>670.6213<>675.2623<>671.5495<>708.2132<>657.1624<>655.306<>602.863
23,3,4mu8C,267.7844<>288.2047<>331.3658<>395.4113<>452.9594<>516.5408<>581.0504<>642.7754<>691.5057<>711.4619<>749.5179<>728.6335<>831.1991<>821.4531<>841.4092<>756.0153<>835.8401<>749.982<>823.3094<>721.2079<>710.0696<>656.2343<>570.3762<>616.7859<>607.9681
24,3,RG2833 (RGFP109),178.2135<>193.0647<>227.4079<>274.2818<>316.5147<>384.2729<>437.1801<>497.5128<>548.5635<>610.2886<>648.3446<>737.4514<>730.4899<>809.8506<>789.8944<>909.6317<>954.185<>958.3619<>872.0397<>916.129<>855.3322<>879.9294<>812.6352<>787.1098<>805.6737
25,3,SGX-523,206.5235<>200.4902<>241.7949<>270.1049<>315.5865<>365.709<>419.5444<>482.6617<>533.2484<>577.3376<>611.6808<>657.6265<>648.8087<>650.201<>713.3183<>759.728<>801.4968<>729.0976<>759.728<>804.7455<>744.4128<>673.8699<>638.5985<>648.3446<>610.7527
26,3,Losartan Potassium (DuP 753),187.4955<>189.3519<>217.1978<>259.8947<>301.6635<>357.8194<>413.047<>441.357<>535.5688<>542.5303<>602.863<>626.0679<>722.6002<>705.4286<>656.6984<>664.1239<>719.3516<>721.6721<>649.7369<>627.4602<>545.3149<>645.56<>581.5145<>572.2325<>566.6634
