,expId,Compound,Catalog.No.,Rack.Number,M.w.,CAS.Number,Form,Targets..as.supplied.,Target.class..11Mar15.,Molecule.Type,Target.Species,Target.Type,Information,Smiles,Max.Solubility.in.DMSO,URL,Pathway,Plate,Position
1,3,ABT-263 (Navitoclax),S1001,L1700-01,974.61,923564-51-6,free base,Bcl-2,BCL2,Synthetic small molecule,Mammalian,Cell death,ABT-263 (Navitoclax) is a potent inhibitor of Bcl-xL; Bcl-2 and Bcl-w with Ki of <= 0.5 nM; <=1 nM and <=1 nM; but binds more weakly to Mcl-1 and A1. Phase 1/2.,C1=CC(=CC=C1C2=C(CC(CC2)(C)C)CN3CCN(CC3)C4=CC=C(C=C4)C(NS(C5=CC(=C(C=C5)N[C@H](CCN6CCOCC6)CSC7=CC=CC=C7)S(C(F)(F)F)(=O)=O)(=O)=O)=O)Cl,102,http://www.selleckchem.com/products/ABT-263.html,Apoptosis,1,a1
2,3,Clofarabine,S1218,L1700-03,303.68,123318-82-1,free base,DNA/RNA Synthesis,Ribonucleoside Reductase,Synthetic small molecule,Mammalian,Metabolism-related,Clofarabine inhibits the enzymatic activities of ribonucleotide reductase (IC50 = 65 nM) and DNA polymerase.,N1=C(N=C2C(=C1N)N=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl,200,http://www.selleckchem.com/products/Clofarabine.html,DNA Damage,1,a2
3,3,BEZ235 (NVP-BEZ235; Dactolisib),S1009,L1700-01,469.55,915019-65-7,free base,PI3K;ATM/ATR;mTOR,PI3K/MTOR;ATR,Synthetic small molecule,Mammalian,Kinase,BEZ235 (NVP-BEZ235) is a dual ATP-competitive PI3K and mTOR inhibitor for p110A/gamma/δ/Beta and mTOR(p70S6K) with IC50 of 4 nM/5 nM/7 nM/75 nM/6 nM; respectively. Inhibits ATR with IC50 of 21 nM; shown to be poor inhibitory to Akt and PDK1. Phase 1/2.,C12=CN=C3C(=C1N(C(N2C)=O)C4=CC=C(C=C4)C(C#N)(C)C)C=C(C=C3)C5=CC6=C(N=C5)C=CC=C6,10,http://www.selleckchem.com/products/BEZ235.html,PI3K/Akt/mTOR,1,a3
4,3,KU-0063794,S1226,L1700-03,465.54,938440-64-3,free base,mTOR,MTOR,Synthetic small molecule,Mammalian,Kinase,KU-0063794 is a potent and highly specific dual-mTOR inhibitor of mTORC1 and mTORC2 with IC50 of ~10 nM; no effect on PI3Ks.,N1=C(N=C2C(=C1N3CCOCC3)C=CC(=N2)C4=CC(=C(C=C4)OC)CO)N5C[C@H](O[C@H](C5)C)C,34,http://www.selleckchem.com/products/KU-0063794.html,PI3K/Akt/mTOR,1,a4
5,3,PD184352 (CI-1040),S1020,L1700-01,478.67,212631-79-3,free base,MEK,MEK,Synthetic small molecule,Mammalian,Kinase,CI-1040 (PD 184352) is an ATP non-competitive MEK1/2 inhibitor with IC50 of 17 nM; 100-fold more selective for MEK1/2 than MEK5. Phase 2.,C1=C(C(=C(C(=C1)C(NOCC2CC2)=O)NC3=CC=C(C=C3Cl)I)F)F,200,http://www.selleckchem.com/products/CI-1040-(PD184352).html,MAPK,1,a5
6,3,Temozolomide,S1237,L1700-03,194.15,85622-93-1,free base,Autophagy,DNA/RNA Metabolism,,Mammalian,Double stranded DNA,Temozolomide is a DNA damage inducer.,N1(N=NC2N(C1=O)C=NC=2C(N)=O)C,200,http://www.selleckchem.com/products/Methazolastone.html,Ubiquitin,1,a6
7,3,Motesanib Diphosphate (AMG-706),S1032,L1700-01,569.44,857876-30-3,diphosphate,VEGFR;PDGFR;c-Kit,VEGFR;KIT,Synthetic small molecule,Mammalian,Kinase,Motesanib Diphosphate (AMG-706) is a potent ATP-competitive inhibitor of VEGFR1/2/3 with IC50 of 2 nM/3 nM/6 nM; respectively; similar activity against Kit; ~10-fold more selective for VEGFR than PDGFR and Ret. Phase 1/2.,C1(=CN=CC=C1CNC2=C(C=CC=N2)C(=O)NC3=CC=C4C(=C3)NCC4(C)C).P(O)(=O)(O)O.P(O)(=O)(O)O,175,http://www.selleckchem.com/products/Motesanib-Diphosphate.html,Protein Tyrosine Kinase,1,a7
8,3,Dienogest,S1251,L1700-03,311.42,65928-58-7,free base,Estrogen/progestogen Receptor,Estrogen/progesterone receptor,Synthetic small molecule,Mammalian,Receptor,Dienogest is an orally active synthetic progesterone (or progestin). ,C1(CCC2=C3CC[C@]4([C@](CC[C@@]([C@](CCC(=C1)2)3[H])4[H])(O)CC#N)C)=O,199,http://www.selleckchem.com/products/Dienogest.html,Endocrinology & Hormones,1,a8
9,3,STF-62247,S1041,L1700-01,267.35,315702-99-9,free base,Others,Other,Synthetic small molecule,Mammalian,Metabolism-related,STF-62247 shows selectivtoxicity and growth inhibition of renal cells lacking VHL; 25-fold greater sensitivity observed for cells with VHL deficiency compared to wild-type (VHL+).,N1=CC=C(C=C1)C2=CSC(=N2)NC3=CC=CC(=C3)C,198,http://www.selleckchem.com/products/STF-62247.html,Others,1,a9
10,3,Celecoxib,S1261,L1700-03,381.37,169590-42-5,free base,COX,COX,,Mammalian,Metabolism-related,Celecoxib is a selective COX-2 inhibitor with IC50 of 40 nM.,C1(=CC=C(C=C1)S(N)(=O)=O)N2C(=CC(=N2)C(F)(F)F)C3=CC=C(C=C3)C,199,http://www.selleckchem.com/products/Celecoxib.html,Neuronal Signaling,1,a10
