,expId,Compound,tempConfluenceDf
1,3,ABT-263 (Navitoclax),33.15754<>34.18332<>39.92097<>42.96039<>47.85365<>52.60616<>57.99849<>63.0048<>72.17119<>76.56396<>82.48749<>88.71684<>92.3072<>96.58038<>97.18045<>98.64652<>99.65607<>99.88464<>99.96995<>99.97741<>100<>99.91516<>99.97374<>99.89804<>99.91939
2,3,Clofarabine,32.53723<>33.4951<>38.57737<>40.61948<>43.69612<>47.70984<>51.60278<>54.17052<>58.67423<>59.6216<>63.83856<>65.98198<>67.31501<>65.04086<>65.65172<>67.79218<>70.60449<>72.0162<>70.34862<>68.45449<>68.26472<>68.46816<>66.89889<>65.94289<>65.77863
3,3,BEZ235 (NVP-BEZ235; Dactolisib),24.86779<>27.5154<>31.52084<>36.49653<>40.04884<>38.88021<>40.97149<>45.4233<>45.0002<>45.16163<>46.25441<>49.51904<>49.32513<>47.98076<>47.4647<>47.49621<>49.59411<>52.05385<>49.85602<>52.66688<>49.3951<>51.60056<>51.26345<>52.87141<>51.08662
4,3,KU-0063794,32.7571<>36.06337<>40.9339<>43.59042<>47.55838<>49.13019<>51.97507<>53.54697<>58.64315<>61.43034<>63.10579<>67.16512<>70.14091<>69.94852<>70.56836<>71.67688<>75.88776<>78.69809<>79.35635<>79.95731<>81.18977<>82.07199<>84.77632<>85.70636<>85.88458
5,3,PD184352 (CI-1040),34.14863<>38.39604<>41.32011<>50.71142<>58.87696<>66.41445<>68.63014<>76.38123<>84.17792<>89.26302<>92.79204<>97.3988<>98.25665<>99.6647<>99.80714<>99.95337<>100<>100<>100<>100<>100<>100<>100<>100<>100
6,3,Temozolomide,33.70861<>35.75673<>41.99802<>48.36794<>53.3618<>62.47195<>69.50825<>75.39124<>83.51866<>87.16934<>93.21555<>97.74403<>98.7973<>99.44842<>99.64736<>99.97706<>99.97298<>100<>100<>100<>100<>100<>100<>100<>100
7,3,Motesanib Diphosphate (AMG-706),33.80969<>37.74563<>42.10372<>47.64658<>56.39829<>58.40834<>64.70446<>72.83925<>83.4612<>84.19608<>87.8623<>90.51585<>96.93564<>96.29337<>98.4614<>98.8313<>99.3066<>98.92109<>99.54002<>99.66269<>99.89561<>99.66912<>99.88436<>99.87138<>99.8269
8,3,Dienogest,31.92846<>34.0341<>39.61484<>45.40451<>53.88136<>62.16017<>69.83946<>78.59665<>87.0785<>91.20454<>94.91897<>97.02558<>99.42998<>99.811<>99.95571<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
9,3,STF-62247,23.40772<>27.20034<>33.98762<>38.31116<>42.23281<>49.67086<>56.87526<>65.66162<>73.68742<>80.43118<>88.72009<>93.70834<>97.45247<>99.02236<>99.80416<>99.83884<>99.98038<>100<>100<>100<>100<>100<>100<>100<>100
10,3,Celecoxib,33.44192<>33.46851<>41.382<>45.26234<>53.80077<>60.67479<>73.56329<>79.1634<>87.03436<>91.7617<>95.97396<>99.07851<>99.75781<>99.94542<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
