,expId,Compound,tempSytoxDf
1,3,ABT-263 (Navitoclax),5.569173<>5.569173<>6.961466<>6.033271<>9.281956<>9.281956<>10.21015<>11.13835<>13.45884<>16.70752<>19.02801<>33.87914<>47.33797<>52.90715<>93.74775<>167.5393<>319.2993<>464.5619<>682.6878<>930.9801<>1140.752<>1312.469<>1472.118<>1602.066<>1712.521
2,3,Clofarabine,6.497369<>9.746053<>7.889662<>7.425564<>6.497369<>6.961466<>8.35376<>9.281956<>9.281956<>13.45884<>17.17162<>26.45357<>50.12256<>74.25565<>98.85282<>127.6269<>168.4675<>198.1698<>236.2258<>269.6408<>284.4919<>325.3326<>355.4989<>371.7423<>375.4551
3,3,BEZ235 (NVP-BEZ235; Dactolisib),6.961466<>10.21015<>7.889662<>8.817858<>11.13835<>16.70752<>18.09981<>24.59718<>27.84587<>32.95094<>34.34324<>39.44831<>38.05602<>34.80733<>33.41504<>37.12782<>33.87914<>31.55865<>29.70226<>28.77406<>22.27669<>24.59718<>25.52538<>30.16636<>30.16636
4,3,KU-0063794,5.105075<>7.425564<>8.817858<>8.35376<>12.53064<>12.99474<>14.85113<>16.70752<>17.17162<>18.56391<>19.9562<>20.8844<>18.09981<>17.63572<>19.02801<>20.4203<>21.8126<>20.8844<>25.06128<>28.77406<>32.48684<>33.41504<>32.95094<>34.34324<>37.12782
5,3,PD184352 (CI-1040),2.784587<>6.961466<>10.67425<>6.033271<>6.497369<>5.569173<>4.640978<>3.712782<>5.569173<>9.281956<>6.961466<>8.35376<>11.60244<>17.63572<>16.24342<>21.3485<>36.19963<>47.80207<>66.83008<>94.21185<>104.8861<>135.9807<>158.2573<>188.4237<>232.9771
6,3,Temozolomide,9.746053<>11.60244<>8.35376<>4.640978<>4.17688<>6.497369<>6.497369<>5.569173<>8.817858<>12.06654<>12.99474<>15.77932<>17.63572<>19.49211<>27.38177<>23.20489<>40.37651<>45.48158<>77.04023<>130.4115<>168.9316<>209.3081<>284.4919<>338.7914<>418.1521
7,3,Motesanib Diphosphate (AMG-706),6.033271<>6.497369<>5.569173<>3.248684<>3.248684<>3.712782<>4.640978<>5.569173<>6.961466<>6.033271<>10.67425<>9.281956<>21.3485<>26.45357<>38.98421<>51.51485<>89.57087<>125.7705<>151.76<>207.9158<>261.7511<>297.0226<>359.2117<>406.0855<>434.3955
8,3,Dienogest,1.856391<>3.712782<>3.712782<>1.856391<>1.856391<>2.784587<>3.712782<>6.961466<>8.817858<>8.35376<>7.889662<>12.99474<>15.77932<>14.85113<>17.63572<>19.9562<>27.84587<>40.8406<>67.29417<>99.31693<>155.0087<>199.0979<>251.541<>311.8737<>367.5654
9,3,STF-62247,0.9281955<>0.9281955<>0.9281955<>0.9281955<>1.856391<>2.320489<>3.712782<>6.033271<>7.889662<>12.06654<>12.99474<>12.99474<>15.31523<>12.53064<>12.53064<>13.92293<>27.84587<>30.63045<>43.16109<>70.07877<>85.85809<>107.6707<>154.0805<>186.1032<>220.9105
10,3,Celecoxib,2.320489<>3.248684<>5.569173<>6.033271<>6.033271<>6.033271<>4.640978<>4.17688<>4.640978<>4.640978<>3.712782<>5.569173<>10.21015<>26.91767<>24.13308<>26.45357<>38.05602<>44.08929<>62.6532<>90.49906<>128.091<>166.6111<>215.8055<>276.6023<>284.956
