"","expId","Compound","Catalog.No.","Rack.Number","M.w.","CAS.Number","Form","Targets..as.supplied.","Target.class..11Mar15.","Molecule.Type","Target.Species","Target.Type","Information","Smiles","Max.Solubility.in.DMSO","URL","Pathway","Plate","Position","Screen","phenotypic_Marker","0","2","4","6","8","10","12","14","16","18","20","22","24","phenotypic_Marker","0","2","4","6","8","10","12","14","16","18","20","22","24","phenotypic_Marker","0","2","4","6","8","10","12","14","16","18","20","22","24"
"1","2","ABT-263 (Navitoclax)","S1001","L1700-01",974.61,"923564-51-6","free base","Bcl-2","BCL2","Synthetic small molecule","Mammalian","Cell death","ABT-263 (Navitoclax) is a potent inhibitor of Bcl-xL; Bcl-2 and Bcl-w with Ki of <= 0.5 nM; <=1 nM and <=1 nM; but binds more weakly to Mcl-1 and A1. Phase 1/2.","C1=CC(=CC=C1C2=C(CC(CC2)(C)C)CN3CCN(CC3)C4=CC=C(C=C4)C(NS(C5=CC(=C(C=C5)N[C@H](CCN6CCOCC6)CSC7=CC=CC=C7)S(C(F)(F)F)(=O)=O)(=O)=O)=O)Cl",102,"http://www.selleckchem.com/products/ABT-263.html","Apoptosis",1,"a1","ENTER_SCREEN_NAME","Confluency",74.6724,63.39566,65.32144,64.32355,62.99864,62.76445,62.49732,61.89407,62.03114,62.18991,60.58085,61.04813,60.80009,"Sytox Green",36.66372,114.1681,531.392,848.8348,1024.728,1104.089,1136.575,1151.427,1194.588,1215.936,1241.462,1253.064,1258.633,"mCherry",2,27,73,65,59,49,49,43,37,36,21,18,24
"2","2","Clofarabine","S1218","L1700-03",303.68,"123318-82-1","free base","DNA/RNA Synthesis","Ribonucleoside Reductase","Synthetic small molecule","Mammalian","Metabolism-related","Clofarabine inhibits the enzymatic activities of ribonucleotide reductase (IC50 = 65 nM) and DNA polymerase.","N1=C(N=C2C(=C1N)N=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl",200,"http://www.selleckchem.com/products/Clofarabine.html","DNA Damage",1,"a2","ENTER_SCREEN_NAME","Confluency",73.65766,63.31001,61.45575,61.03681,59.5308,59.34402,58.94339,58.07586,57.39912,57.1715,57.46181,56.88715,56.2627,"Sytox Green",38.05602,79.82481,126.6987,281.7073,452.4953,542.9944,630.2448,685.4724,720.7438,743.0205,764.8331,790.3585,791.7508,"mCherry",4,9,21,29,59,65,63,69,60,56,53,50,47
"3","2","BEZ235 (NVP-BEZ235; Dactolisib)","S1009","L1700-01",469.55,"915019-65-7","free base","PI3K;ATM/ATR;mTOR","PI3K/MTOR;ATR","Synthetic small molecule","Mammalian","Kinase","BEZ235 (NVP-BEZ235) is a dual ATP-competitive PI3K and mTOR inhibitor for p110A/gamma/δ/Beta and mTOR(p70S6K) with IC50 of 4 nM/5 nM/7 nM/75 nM/6 nM; respectively. Inhibits ATR with IC50 of 21 nM; shown to be poor inhibitory to Akt and PDK1. Phase 1/2.","C12=CN=C3C(=C1N(C(N2C)=O)C4=CC=C(C=C4)C(C#N)(C)C)C=C(C=C3)C5=CC6=C(N=C5)C=CC=C6",10,"http://www.selleckchem.com/products/BEZ235.html","PI3K/Akt/mTOR",1,"a3","ENTER_SCREEN_NAME","Confluency",65.97807,53.96735,50.93838,49.56753,49.01649,47.71382,47.06736,46.41528,45.36462,44.93186,44.48651,44.57073,43.98087,"Sytox Green",28.30996,52.44305,80.75301,122.0577,147.5831,170.3239,190.7442,212.5568,222.3028,241.7949,266.3921,299.8072,325.7966,"mCherry",0,2,6,7,10,10,7,7,8,3,7,8,5
"4","2","KU-0063794","S1226","L1700-03",465.54,"938440-64-3","free base","mTOR","MTOR","Synthetic small molecule","Mammalian","Kinase","KU-0063794 is a potent and highly specific dual-mTOR inhibitor of mTORC1 and mTORC2 with IC50 of ~10 nM; no effect on PI3Ks.","N1=C(N=C2C(=C1N3CCOCC3)C=CC(=N2)C4=CC(=C(C=C4)OC)CO)N5C[C@H](O[C@H](C5)C)C",34,"http://www.selleckchem.com/products/KU-0063794.html","PI3K/Akt/mTOR",1,"a4","ENTER_SCREEN_NAME","Confluency",60.55324,51.97635,50.61323,47.71865,46.24767,45.54992,43.44654,42.7593,41.89417,40.70476,40.65216,39.82195,39.09615,"Sytox Green",21.3485,60.33271,111.8476,168.0034,205.1312,266.3921,308.1609,374.991,420.9367,484.054,525.8228,554.1328,596.3657,"mCherry",2,5,5,8,11,10,12,17,14,20,27,18,16
"5","2","PD184352 (CI-1040)","S1020","L1700-01",478.67,"212631-79-3","free base","MEK","MEK","Synthetic small molecule","Mammalian","Kinase","CI-1040 (PD 184352) is an ATP non-competitive MEK1/2 inhibitor with IC50 of 17 nM; 100-fold more selective for MEK1/2 than MEK5. Phase 2.","C1=C(C(=C(C(=C1)C(NOCC2CC2)=O)NC3=CC=C(C=C3Cl)I)F)F",200,"http://www.selleckchem.com/products/CI-1040-(PD184352).html","MAPK",1,"a5","ENTER_SCREEN_NAME","Confluency",71.47072,59.55856,57.79091,56.19511,55.88683,54.60858,55.05411,54.13502,53.46738,52.84362,52.59639,53.77823,53.07211,"Sytox Green",28.30996,65.90189,99.31693,175.8931,236.6899,281.2433,329.9735,375.9192,418.6162,437.1801,491.4795,523.0382,541.6021,"mCherry",1,6,15,19,25,27,26,28,22,22,18,15,12
"6","2","Temozolomide","S1237","L1700-03",194.15,"85622-93-1","free base","Autophagy","DNA/RNA Metabolism","","Mammalian","Double stranded DNA","Temozolomide is a DNA damage inducer.","N1(N=NC2N(C1=O)C=NC=2C(N)=O)C",200,"http://www.selleckchem.com/products/Methazolastone.html","Ubiquitin",1,"a6","ENTER_SCREEN_NAME","Confluency",76.64003,66.06654,63.93334,64.44059,63.07085,63.40366,62.07144,62.27657,61.27335,61.28769,61.96202,61.5329,60.63631,"Sytox Green",42.2329,89.57087,148.9754,219.5182,286.8124,327.653,347.6092,370.8141,395.4113,419.5444,448.7825,475.2361,494.2641,"mCherry",3,9,15,26,29,38,25,23,31,21,24,21,16
"7","2","Motesanib Diphosphate (AMG-706)","S1032","L1700-01",569.44,"857876-30-3","diphosphate","VEGFR;PDGFR;c-Kit","VEGFR;KIT","Synthetic small molecule","Mammalian","Kinase","Motesanib Diphosphate (AMG-706) is a potent ATP-competitive inhibitor of VEGFR1/2/3 with IC50 of 2 nM/3 nM/6 nM; respectively; similar activity against Kit; ~10-fold more selective for VEGFR than PDGFR and Ret. Phase 1/2.","C1(=CN=CC=C1CNC2=C(C=CC=N2)C(=O)NC3=CC=C4C(=C3)NCC4(C)C).P(O)(=O)(O)O.P(O)(=O)(O)O",175,"http://www.selleckchem.com/products/Motesanib-Diphosphate.html","Protein Tyrosine Kinase",1,"a7","ENTER_SCREEN_NAME","Confluency",67.30103,56.73999,53.98673,52.91723,54.18852,51.91734,51.34253,50.56298,50.27909,50.26387,50.03235,49.46939,50.44231,"Sytox Green",24.13308,64.50959,99.31693,138.7652,177.2854,210.7004,220.4464,236.6899,256.182,266.3921,287.2765,308.1609,320.6916,"mCherry",3,8,12,17,18,26,22,19,20,26,17,14,16
"8","2","Dienogest","S1251","L1700-03",311.42,"65928-58-7","free base","Estrogen/progestogen Receptor","Estrogen/progesterone receptor","Synthetic small molecule","Mammalian","Receptor","Dienogest is an orally active synthetic progesterone (or progestin). ","C1(CCC2=C3CC[C@]4([C@](CC[C@@]([C@](CCC(=C1)2)3[H])4[H])(O)CC#N)C)=O",199,"http://www.selleckchem.com/products/Dienogest.html","Endocrinology & Hormones",1,"a8","ENTER_SCREEN_NAME","Confluency",74.48838,63.34641,61.64529,60.64383,60.07292,60.00029,61.68315,60.83005,58.2767,57.91665,57.42207,59.66975,58.20839,"Sytox Green",30.16636,67.75828,107.2066,155.9368,208.3799,241.3308,268.7126,299.343,324.4043,329.0453,353.6425,367.1013,381.9525,"mCherry",4,11,15,18,34,32,30,24,24,23,23,19,14
"9","2","STF-62247","S1041","L1700-01",267.35,"315702-99-9","free base","Others","Other","Synthetic small molecule","Mammalian","Metabolism-related","STF-62247 shows selectivtoxicity and growth inhibition of renal cells lacking VHL; 25-fold greater sensitivity observed for cells with VHL deficiency compared to wild-type (VHL+).","N1=CC=C(C=C1)C2=CSC(=N2)NC3=CC=CC(=C3)C",198,"http://www.selleckchem.com/products/STF-62247.html","Others",1,"a9","ENTER_SCREEN_NAME","Confluency",77.03612,71.54351,73.59204,73.31498,73.78611,74.04993,73.78746,74.06054,73.01794,73.42049,74.81866,72.91872,73.52404,"Sytox Green",43.16109,586.1555,988.5283,1385.332,1602.53,1738.046,1786.776,1810.445,1820.191,1840.148,1878.204,1961.741,2031.82,"mCherry",1,39,47,49,30,24,16,14,11,11,10,9,9
"10","2","Celecoxib","S1261","L1700-03",381.37,"169590-42-5","free base","COX","COX","","Mammalian","Metabolism-related","Celecoxib is a selective COX-2 inhibitor with IC50 of 40 nM.","C1(=CC=C(C=C1)S(N)(=O)=O)N2C(=CC(=N2)C(F)(F)F)C3=CC=C(C=C3)C",199,"http://www.selleckchem.com/products/Celecoxib.html","Neuronal Signaling",1,"a10","ENTER_SCREEN_NAME","Confluency",77.76969,66.01987,63.27139,64.24487,62.08038,61.01696,60.33311,58.94952,57.99226,57.91192,57.62694,56.40576,56.46891,"Sytox Green",50.12256,79.82481,96.99644,137.3729,171.7162,206.5235,234.3694,260.8229,271.9613,293.7739,302.5917,324.4043,333.2222,"mCherry",4,5,16,13,27,27,31,28,35,33,23,24,20
