Compound,phenotypic_Marker,0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,phenotypic_Marker,0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,Lethal Fraction,0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,LF_max,LF AUC
(-)-Blebbistatin,SG+,11.1,10.2,7.9,6.0,4.2,1.9,0.9,0.9,1.9,5.1,6.0,8.8,13.0,16.7,22.3,27.4,44.6,54.3,55.7,71.9,88.2,106.7,132.7,144.3,161.0,mKate2+,125.3,144.8,173.1,210.2,245.5,280.8,336.5,386.6,458.1,519.8,550.4,581.1,620.5,613.1,634.9,667.4,686.4,727.7,682.2,700.3,601.5,606.1,663.7,691.5,681.8,,0.08,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.06,0.07,0.08,0.09,0.13,0.15,0.17,0.17,0.19,0.191,6.30
(-)-Epigallocatechin Gallate,SG+,10.2,10.2,6.0,4.2,2.3,3.7,6.5,9.7,8.4,6.0,10.2,7.9,9.7,12.5,13.5,35.7,44.1,45.5,76.1,112.8,139.7,172.6,198.6,213.5,231.6,mKate2+,198.6,223.7,249.7,297.0,335.5,401.0,456.2,505.4,565.3,624.7,650.2,668.3,735.6,735.1,762.5,737.5,773.7,783.9,774.1,732.8,726.3,769.5,701.3,730.0,684.5,,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.05,0.05,0.05,0.09,0.13,0.16,0.18,0.22,0.23,0.25,0.253,6.56
(-)-Huperzine A (HupA),SG+,6.0,8.8,6.5,6.5,7.4,6.5,5.1,7.4,7.4,7.0,12.5,13.5,16.2,14.4,13.5,24.1,34.8,49.2,76.1,94.2,119.7,120.7,144.8,165.7,191.2,mKate2+,136.4,140.6,174.5,196.8,226.9,282.2,343.0,388.0,445.1,496.1,497.5,554.1,620.0,670.2,642.3,719.8,713.8,690.6,715.2,796.9,763.9,693.8,703.6,697.1,667.8,,0.04,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.05,0.07,0.10,0.11,0.14,0.15,0.17,0.19,0.22,0.223,6.24
(-)-MK 801 Maleate,SG+,5.1,6.0,2.8,1.9,1.4,0.0,1.9,3.2,5.1,5.6,7.0,8.4,13.0,22.3,35.3,43.2,63.1,99.3,153.2,213.0,254.3,279.9,315.1,374.1,405.2,mKate2+,283.6,326.3,386.1,427.9,507.3,573.6,642.8,685.5,727.2,757.9,783.4,834.0,729.6,809.4,774.6,797.3,761.6,656.2,599.2,621.0,585.7,549.5,597.8,595.0,607.0,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.08,0.13,0.20,0.26,0.30,0.34,0.35,0.39,0.40,0.400,10.12
(-)-Parthenolide,SG+,16.7,15.8,9.7,5.6,4.2,3.7,5.6,5.6,6.5,10.2,8.4,12.5,13.9,17.2,25.5,35.3,43.6,59.4,74.3,104.0,135.1,168.5,206.1,231.1,236.2,mKate2+,221.4,243.7,270.6,310.0,358.3,394.9,464.6,520.7,590.3,626.1,683.2,715.2,731.0,700.8,741.6,756.0,750.9,734.7,655.8,750.0,656.2,616.8,637.2,676.2,695.2,,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.04,0.05,0.07,0.10,0.12,0.17,0.21,0.24,0.25,0.25,0.255,7.56
(-)-Tetramisole,SG+,12.1,13.5,8.4,6.5,2.8,1.4,1.4,3.2,3.2,4.2,7.4,9.3,9.3,11.1,18.1,22.7,36.2,58.0,86.3,145.3,210.7,252.0,285.9,322.1,353.6,mKate2+,215.3,235.3,280.8,331.4,385.7,439.0,524.0,601.0,668.8,696.1,720.7,794.5,756.5,796.9,810.3,763.4,738.4,651.6,718.4,631.2,648.8,684.5,589.4,646.0,552.7,,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.08,0.11,0.19,0.25,0.27,0.33,0.33,0.39,0.390,9.00
"(+,-)-Octopamine HCl",SG+,3.7,1.4,0.9,2.8,2.8,3.7,2.8,3.2,5.6,7.0,10.7,12.1,16.2,23.2,36.7,36.7,46.9,68.7,120.2,167.5,210.2,240.4,281.7,317.4,393.6,mKate2+,209.8,241.8,290.1,353.6,394.9,456.7,516.1,598.7,675.7,709.1,734.7,789.4,841.9,824.7,828.0,742.1,814.0,777.4,736.5,765.3,737.9,694.3,696.1,651.1,698.9,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.05,0.08,0.14,0.18,0.22,0.26,0.29,0.33,0.36,0.360,8.04
(+)-Bicuculline,SG+,5.1,3.7,2.3,2.3,2.8,2.8,2.8,2.3,4.6,2.8,3.2,4.6,3.2,4.2,8.4,6.5,6.0,18.6,30.6,31.6,36.7,48.7,64.5,60.3,91.0,mKate2+,73.3,84.0,95.1,114.2,133.7,167.5,194.0,221.4,274.3,317.4,356.0,384.3,433.5,459.5,544.4,582.0,623.3,645.1,722.6,747.2,795.9,854.4,840.5,774.6,857.2,,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0.04,0.04,0.04,0.05,0.07,0.08,0.10,0.096,3.30
(+)-JQ1,SG+,10.2,10.2,5.1,6.0,5.1,8.4,7.9,8.8,10.2,16.2,17.2,22.7,25.1,36.7,48.3,60.3,72.9,95.6,117.9,144.8,172.2,175.0,198.2,210.2,210.7,mKate2+,175.4,188.9,207.9,246.4,271.0,289.1,309.6,314.7,333.7,341.6,354.1,376.4,382.9,370.8,376.4,363.4,366.6,375.5,364.3,349.9,337.4,329.0,305.8,288.7,284.5,,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.05,0.05,0.06,0.06,0.09,0.11,0.14,0.17,0.20,0.24,0.29,0.34,0.35,0.39,0.42,0.43,0.425,14.00
