Compound,phenotypic_Marker,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,phenotypic_Marker,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,Lethal Fraction,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,LF_max
(-)-Blebbistatin,SG+,1.9,2.3,1.4,1.9,1.4,3.2,3.2,5.1,5.6,7.0,7.4,7.4,7.4,6.5,6.5,7.0,7.4,8.4,8.4,8.4,9.7,10.2,9.7,10.2,9.7,11.1,10.7,11.6,14.9,14.9,16.2,17.6,20.4,23.7,26.9,31.1,37.1,34.3,28.3,39.9,47.3,56.2,59.9,69.6,71.0,71.5,75.6,93.3,94.7,104.0,107.2,113.2,110.9,121.1,135.1,148.0,156.9,166.1,187.5,190.3,mKate2+,190.7,188.4,203.3,210.2,218.6,225.6,237.2,246.9,259.4,279.4,295.2,315.1,328.6,351.8,370.8,397.7,411.7,434.9,466.9,500.3,541.6,578.3,623.3,653.9,680.4,708.2,752.3,790.8,835.4,876.2,945.8,990.8,1059.1,1090.2,1141.2,1196.0,1264.2,1314.3,1357.0,1402.0,1439.6,1481.9,1535.7,1596.0,1640.6,1661.0,1739.9,1756.6,1824.8,1817.4,1861.5,1893.5,1959.4,1977.1,2003.0,2008.2,2052.7,2060.6,2081.0,2132.5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.083
(-)-Epigallocatechin Gallate,SG+,3.7,4.6,4.6,5.1,5.1,5.6,5.1,6.5,6.5,5.6,5.6,5.6,7.0,6.5,7.9,7.9,7.9,9.3,11.1,12.5,12.5,12.1,13.9,14.9,11.6,10.2,10.7,9.7,8.4,10.2,9.7,12.1,12.5,18.1,17.2,16.7,22.7,20.0,25.5,29.2,28.3,33.9,33.9,36.7,33.4,35.7,37.1,45.9,52.9,67.8,79.4,84.0,93.3,91.9,103.0,105.8,114.6,115.6,132.3,142.0,mKate2+,147.1,144.3,151.8,157.8,171.7,177.7,188.9,195.8,203.7,220.4,239.5,251.5,256.6,273.8,297.5,314.2,333.2,353.2,378.7,410.3,432.5,463.6,498.9,524.4,552.7,593.1,621.9,667.8,692.0,734.7,796.9,851.2,911.0,935.6,987.6,1024.3,1076.2,1123.1,1174.6,1241.5,1299.5,1326.9,1388.6,1461.4,1513.9,1583.0,1614.1,1641.1,1676.3,1687.0,1736.2,1764.0,1806.7,1853.6,1876.3,1942.7,1961.3,2003.5,2010.9,2011.4,0,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.07,0.066
(-)-Huperzine A (HupA),SG+,2.3,3.7,2.8,3.2,2.8,2.8,3.7,3.2,4.6,5.1,4.2,6.5,9.7,9.7,10.7,12.5,12.5,13.0,14.9,13.9,14.9,13.9,14.4,13.9,13.5,13.9,13.5,14.9,14.4,15.3,14.4,16.2,17.6,20.0,19.5,21.8,22.3,24.1,21.3,22.3,29.2,33.0,31.6,31.1,35.7,40.4,46.4,53.8,55.2,59.4,52.4,64.5,61.3,65.0,65.4,64.0,73.3,75.6,73.8,87.3,mKate2+,117.0,122.1,124.8,126.2,131.8,141.5,148.5,160.1,161.0,179.1,190.7,206.1,211.6,224.6,231.1,248.8,261.8,283.1,294.7,307.7,322.1,354.1,377.8,387.5,418.2,435.8,459.0,484.5,507.7,540.7,560.6,595.4,632.6,672.0,692.0,733.7,762.5,776.0,805.7,840.0,866.5,894.8,918.0,939.8,976.0,1005.7,1052.1,1085.5,1131.5,1162.1,1165.8,1192.3,1208.5,1225.2,1237.3,1254.0,1293.9,1315.3,1329.2,1370.0,0,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.060
(-)-MK 801 Maleate,SG+,1.4,1.4,1.4,2.3,1.9,1.9,1.9,3.7,4.6,5.1,5.6,5.6,7.0,8.4,8.8,8.4,9.3,10.7,9.3,11.1,10.7,11.6,12.5,12.1,13.0,14.4,12.5,12.1,13.0,13.9,13.9,17.2,17.2,19.5,20.4,22.7,25.1,25.5,29.7,38.5,41.3,45.9,51.1,58.0,64.0,74.3,85.4,88.6,91.4,93.7,101.6,104.4,105.8,117.0,122.5,126.2,129.5,140.6,154.5,176.4,mKate2+,155.5,149.4,157.3,175.9,179.6,191.7,203.7,215.8,229.7,240.4,250.1,272.4,285.9,301.7,328.1,349.9,365.2,393.6,415.8,444.1,455.7,486.4,511.4,546.7,591.3,635.8,675.7,706.4,759.3,785.7,822.8,892.5,931.9,971.8,1003.8,1076.2,1116.6,1184.4,1215.5,1255.8,1306.4,1340.3,1381.6,1398.8,1432.7,1467.9,1528.3,1523.2,1555.2,1602.1,1650.3,1718.6,1745.9,1782.6,1821.1,1845.7,1859.2,1890.3,1904.7,1928.3,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.084
(-)-Parthenolide,SG+,6.5,6.5,6.0,4.6,4.2,5.6,6.0,7.4,9.7,7.9,8.8,9.3,7.9,9.3,8.8,8.4,10.2,10.7,12.5,15.3,15.3,14.9,15.3,17.6,18.1,18.1,17.6,20.4,16.7,19.5,19.0,19.5,19.0,20.0,17.6,18.6,20.0,21.8,26.0,32.0,33.9,33.4,36.7,42.2,46.4,48.7,46.9,51.5,56.6,64.0,69.2,73.8,85.4,89.1,95.6,97.9,106.7,115.1,121.6,136.0,mKate2+,184.7,184.2,184.2,190.3,195.4,196.8,205.6,214.4,220.4,239.5,255.7,262.7,277.5,294.7,298.0,313.3,326.7,338.3,359.2,373.1,394.5,429.8,448.3,474.3,499.4,508.7,534.2,560.2,589.4,621.0,647.0,676.7,730.5,764.4,806.1,851.2,872.5,912.9,959.3,995.5,1050.7,1069.7,1126.8,1170.9,1235.0,1274.9,1343.6,1365.4,1433.6,1487.4,1524.6,1584.0,1636.9,1673.5,1698.6,1749.2,1803.5,1823.0,1883.8,1931.1,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.066
"(+,-)-Octopamine HCl",SG+,3.2,4.2,3.2,2.3,2.3,2.8,2.8,2.3,3.7,3.2,3.7,4.6,4.2,4.6,2.3,2.3,2.3,2.8,2.8,3.7,4.2,4.2,4.6,5.1,5.1,7.0,8.4,7.9,10.7,10.2,9.3,8.4,8.8,8.8,8.8,9.7,9.7,12.5,13.9,15.3,13.5,12.5,14.9,16.2,17.6,22.7,22.7,20.4,16.7,18.1,21.3,30.2,31.6,37.1,39.9,36.7,43.2,42.7,49.7,53.4,mKate2+,104.4,110.9,113.7,117.0,120.7,123.0,131.8,138.3,142.5,161.5,170.3,175.0,182.4,201.4,210.7,220.0,227.4,242.7,255.7,264.1,281.2,298.4,322.1,339.3,348.5,372.2,389.4,415.8,443.2,466.0,488.2,535.1,542.5,583.8,602.9,636.3,634.4,679.9,727.7,743.0,790.8,824.7,861.4,884.6,942.6,938.4,973.2,983.4,1000.1,1018.7,1055.8,1097.6,1125.9,1156.1,1205.3,1221.5,1249.4,1288.8,1296.2,1335.2,0,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.038
(+)-Bicuculline,SG+,1.9,1.9,3.2,3.7,3.2,5.6,8.4,7.4,9.3,8.8,8.8,9.7,9.7,10.2,11.6,10.7,10.2,11.1,11.1,13.9,11.1,11.6,12.1,10.7,13.0,12.5,13.0,12.5,12.1,11.6,14.9,14.4,14.4,14.4,15.8,17.2,17.6,16.7,19.5,20.4,26.0,28.8,31.6,31.6,32.0,30.2,29.7,33.0,36.2,41.8,43.6,42.7,41.8,50.1,62.2,63.6,66.4,68.7,67.3,68.2,mKate2+,106.7,111.8,112.8,114.2,123.5,124.4,126.7,132.7,149.0,152.7,160.1,169.9,183.3,183.8,201.4,206.5,220.0,232.5,253.4,274.7,284.5,315.1,333.7,346.2,378.2,415.4,433.9,451.6,483.1,516.5,550.0,580.6,617.3,649.3,685.9,739.8,783.9,803.4,849.8,902.2,934.7,956.5,1026.1,1072.1,1116.6,1147.3,1178.3,1211.3,1225.2,1268.4,1322.7,1365.4,1384.9,1425.2,1474.0,1525.5,1547.3,1578.9,1576.5,1647.1,0,0.02,0.02,0.03,0.03,0.03,0.04,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.062
(+)-JQ1,SG+,6.5,7.9,7.0,7.4,7.0,6.0,6.0,9.7,12.1,12.1,15.3,18.6,20.9,24.1,23.2,24.1,24.6,26.9,24.6,29.2,28.8,33.0,33.4,32.5,32.5,30.2,31.6,35.3,39.4,40.8,45.9,49.7,56.2,58.5,60.8,61.7,66.4,71.9,75.2,80.3,84.5,87.3,89.6,89.1,93.3,101.6,107.2,116.0,118.3,113.7,120.7,124.8,128.6,123.0,121.6,123.0,120.2,117.0,116.0,117.9,mKate2+,142.0,147.6,154.1,158.3,162.9,166.6,173.1,179.1,189.4,205.1,216.3,226.0,229.3,236.2,246.9,247.4,251.5,260.8,267.3,282.6,282.2,296.6,304.9,310.0,316.5,333.2,342.0,341.6,347.6,351.3,354.6,351.3,355.0,362.9,356.0,363.9,373.6,371.7,363.9,369.4,373.1,368.0,359.7,362.9,358.7,349.0,333.2,336.0,339.3,341.1,330.4,328.1,331.4,340.2,336.0,335.5,331.4,328.6,326.3,323.5,0,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.10,0.09,0.09,0.09,0.10,0.10,0.11,0.12,0.14,0.14,0.15,0.15,0.15,0.16,0.17,0.18,0.18,0.19,0.20,0.20,0.21,0.23,0.24,0.26,0.26,0.26,0.27,0.28,0.28,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.284
(+)-Matrine,SG+,4.6,5.1,4.6,4.2,3.7,3.2,3.7,4.2,4.2,5.1,5.1,4.2,5.1,6.5,4.6,5.1,8.4,9.3,8.4,8.8,9.7,7.4,9.3,13.9,13.9,13.9,15.8,15.3,15.3,14.4,18.1,22.7,29.2,29.2,33.4,33.0,39.4,36.7,43.2,44.6,52.9,59.9,74.3,77.5,88.2,92.8,105.4,111.8,120.7,143.4,157.8,166.6,187.0,200.5,212.6,226.5,260.8,280.3,287.7,324.4,mKate2+,220.4,222.8,234.4,234.4,256.2,263.6,270.6,290.1,311.4,317.4,346.2,374.1,400.5,420.5,444.6,473.4,506.3,543.0,588.0,614.5,667.8,705.9,740.2,780.6,834.4,886.9,931.4,985.3,1062.3,1109.7,1171.8,1202.0,1264.7,1333.4,1382.5,1452.6,1506.0,1543.6,1616.0,1671.2,1694.4,1762.2,1794.7,1812.8,1844.3,1881.9,1917.2,1972.9,2022.5,2025.8,2033.2,2049.9,2085.2,2076.8,2089.4,2139.0,2128.8,2173.4,2149.2,2177.1,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.10,0.11,0.11,0.12,0.13,0.130
